Género,Cat. Ingresos,Nº Depend.,Antigüedad,Ct. Prod.,Meses inact.,Contactos,Ct Trans.,% var ct tr Q4/Q3,$ Tot. Trans.,% var $ tr Q4/Q3,Predicción
F,Less than $40K,4,34,5,5,2,86,"0,91 %",$3913,"0,79 %",Existente 😀
M,$120K +,3,42,4,5,3,35,"0,25 %",$1756,"0,45 %",Perdido 😞
F,Less than $40K,1,48,6,6,3,45,"0,61 %",$2164,"0,56 %",Perdido 😞
F,Less than $40K,2,51,5,5,4,44,"0,63 %",$2146,"0,66 %",Perdido 😞
M,$60K - $80K,2,44,6,6,3,80,"0,74 %",$3998,"0,61 %",Existente 😀
M,$80K - $120K,1,47,5,6,5,61,"0,85 %",$2599,"0,71 %",Existente 😀
M,Less than $40K,1,28,1,6,3,74,"0,61 %",$4314,"0,63 %",Existente 😀
F,Less than $40K,1,53,5,6,2,49,"0,53 %",$2280,"0,66 %",Perdido 😞
F,Less than $40K,3,36,5,5,2,79,"0,80 %",$4606,"0,95 %",Existente 😀
M,$60K - $80K,4,36,1,6,1,100,"0,56 %",$7396,"0,72 %",Existente 😀
M,$80K - $120K,3,36,3,5,2,73,"0,66 %",$3993,"0,59 %",Existente 😀
M,$60K - $80K,2,48,2,5,1,26,"1,60 %",$1596,"1,32 %",Existente 😀
M,Less than $40K,1,13,3,6,5,45,"0,61 %",$1719,"0,65 %",Existente 😀
M,$80K - $120K,2,46,5,5,2,81,"0,76 %",$4802,"0,72 %",Existente 😀
F,Unknown,3,31,4,6,3,84,"0,83 %",$5238,"0,72 %",Existente 😀
M,$60K - $80K,4,33,1,5,1,96,"0,66 %",$13767,"0,93 %",Existente 😀
F,Unknown,3,23,6,6,1,77,"0,88 %",$4389,"0,68 %",Existente 😀
M,$120K +,1,38,4,5,3,65,"0,67 %",$3647,"0,81 %",Existente 😀
F,Unknown,3,31,5,6,4,65,"0,76 %",$3553,"0,51 %",Existente 😀
M,$60K - $80K,1,33,3,5,2,76,"0,46 %",$3342,"1,03 %",Existente 😀
M,$60K - $80K,2,28,2,6,1,109,"0,85 %",$13970,"0,86 %",Existente 😀
F,Less than $40K,0,45,3,6,2,70,"0,59 %",$4118,"0,57 %",Existente 😀
F,Less than $40K,1,36,6,5,1,81,"0,59 %",$4433,"0,57 %",Existente 😀
F,Less than $40K,3,46,6,5,3,88,"0,83 %",$4271,"0,59 %",Existente 😀
F,Less than $40K,5,38,4,5,2,91,"0,75 %",$4634,"0,88 %",Existente 😀
F,Less than $40K,3,36,3,5,2,82,"0,86 %",$4314,"0,86 %",Existente 😀
F,Less than $40K,2,36,4,5,1,93,"0,76 %",$5209,"0,86 %",Existente 😀
M,$60K - $80K,0,39,5,6,3,73,"0,74 %",$3572,"0,57 %",Existente 😀
M,$60K - $80K,0,36,3,5,3,33,"0,94 %",$1567,"0,52 %",Existente 😀
M,$60K - $80K,3,42,2,5,1,81,"0,84 %",$4722,"0,90 %",Existente 😀
F,Less than $40K,2,19,6,5,2,71,"0,97 %",$4126,"1,05 %",Existente 😀
F,Unknown,2,36,4,6,2,73,"0,97 %",$4917,"0,80 %",Existente 😀
F,Less than $40K,4,36,3,5,3,35,"1,19 %",$1459,"0,82 %",Existente 😀
F,Less than $40K,3,36,6,5,2,73,"0,74 %",$4338,"0,61 %",Existente 😀
F,$40K - $60K,3,31,5,5,3,63,"0,62 %",$3243,"0,60 %",Existente 😀
F,Less than $40K,5,35,3,6,4,75,"0,56 %",$5029,"0,67 %",Existente 😀
F,Less than $40K,4,36,3,5,1,78,"0,47 %",$4532,"0,81 %",Existente 😀
F,Less than $40K,5,31,2,5,2,85,"0,67 %",$4268,"0,79 %",Existente 😀
F,Less than $40K,4,31,6,6,4,83,"0,80 %",$4727,"0,70 %",Existente 😀
M,$60K - $80K,2,37,6,6,3,75,"1,27 %",$4537,"0,97 %",Existente 😀
F,Less than $40K,4,41,6,5,3,24,"0,26 %",$1039,"0,51 %",Existente 😀
F,Less than $40K,1,30,3,5,0,68,"0,79 %",$3148,"0,72 %",Existente 😀
F,$40K - $60K,3,36,2,6,2,75,"0,97 %",$4456,"0,73 %",Existente 😀
M,$120K +,2,36,6,5,2,28,"0,87 %",$1205,"0,65 %",Existente 😀
F,Less than $40K,2,36,5,5,1,84,"0,71 %",$4565,"0,69 %",Existente 😀
F,Less than $40K,5,42,3,5,1,65,"0,71 %",$3493,"0,63 %",Existente 😀
F,Less than $40K,3,27,1,6,3,92,"0,80 %",$4878,"0,72 %",Existente 😀
M,$40K - $60K,2,35,1,6,3,93,"0,72 %",$7823,"0,65 %",Existente 😀
M,Less than $40K,2,46,3,5,3,117,"0,56 %",$15853,"0,82 %",Existente 😀
F,Unknown,4,36,2,6,1,104,"0,60 %",$13614,"0,77 %",Existente 😀
M,$80K - $120K,2,34,5,5,2,33,"0,83 %",$1165,"0,65 %",Existente 😀
M,$80K - $120K,1,52,6,6,1,36,"0,44 %",$1257,"0,73 %",Existente 😀
F,Less than $40K,2,31,3,5,2,75,"1,42 %",$4580,"0,59 %",Existente 😀
F,Less than $40K,3,48,6,5,3,77,"0,83 %",$3755,"0,81 %",Existente 😀
F,Less than $40K,2,35,4,6,1,64,"0,73 %",$3445,"1,09 %",Existente 😀
F,$40K - $60K,4,37,3,6,2,78,"0,77 %",$4120,"0,82 %",Existente 😀
F,Less than $40K,1,49,6,5,4,43,"1,15 %",$1966,"0,46 %",Existente 😀
F,Less than $40K,4,36,5,5,1,52,"1,08 %",$3453,"0,57 %",Existente 😀
F,Unknown,3,36,3,5,3,87,"0,74 %",$4674,"0,83 %",Existente 😀
F,Less than $40K,2,48,3,6,3,36,"0,13 %",$1702,"0,16 %",Perdido 😞
F,Less than $40K,1,36,3,5,4,79,"0,52 %",$2801,"0,82 %",Existente 😀
M,$80K - $120K,2,38,4,5,2,83,"0,84 %",$4520,"0,84 %",Existente 😀
F,Unknown,3,37,3,6,3,72,"0,50 %",$4169,"0,62 %",Existente 😀
F,Less than $40K,3,36,6,5,3,82,"0,78 %",$4954,"0,72 %",Existente 😀
M,$40K - $60K,2,36,6,6,1,84,"0,83 %",$4497,"0,75 %",Existente 😀
F,Less than $40K,3,36,5,5,3,78,"0,77 %",$4676,"0,67 %",Existente 😀
F,Less than $40K,4,36,2,5,2,99,"0,65 %",$13820,"0,79 %",Existente 😀
F,$40K - $60K,3,36,6,5,2,60,"0,82 %",$3651,"0,71 %",Existente 😀
M,$40K - $60K,0,37,4,5,2,72,"0,60 %",$3696,"0,66 %",Existente 😀
F,Less than $40K,3,47,2,5,4,87,"0,98 %",$8918,"1,00 %",Perdido 😞
M,$60K - $80K,4,36,4,5,0,84,"0,62 %",$4869,"0,93 %",Existente 😀
F,Less than $40K,3,36,3,6,1,63,"0,54 %",$2251,"0,55 %",Existente 😀
F,Less than $40K,3,36,6,5,3,55,"0,67 %",$2853,"1,31 %",Perdido 😞
F,Less than $40K,2,27,2,6,2,91,"0,86 %",$4268,"0,61 %",Existente 😀
F,Less than $40K,3,31,5,6,2,78,"0,81 %",$4804,"0,89 %",Existente 😀
F,Less than $40K,2,27,6,6,2,31,"0,72 %",$1401,"0,50 %",Existente 😀
F,Less than $40K,3,38,6,5,1,80,"0,78 %",$4747,"0,74 %",Existente 😀
M,Less than $40K,0,21,6,6,2,30,"0,67 %",$1645,"0,86 %",Existente 😀
M,$80K - $120K,1,45,1,6,1,81,"0,59 %",$7603,"0,63 %",Existente 😀
M,Less than $40K,2,51,6,5,3,49,"0,69 %",$2589,"0,73 %",Perdido 😞
M,$120K +,2,38,3,6,3,84,"0,65 %",$7761,"0,69 %",Existente 😀
F,Unknown,1,42,4,5,3,72,"0,71 %",$4956,"0,74 %",Existente 😀
F,$40K - $60K,3,34,4,5,2,83,"0,77 %",$4659,"0,91 %",Existente 😀
M,$80K - $120K,4,37,6,5,1,76,"0,81 %",$5168,"0,77 %",Existente 😀
M,Less than $40K,3,35,4,5,0,50,"0,79 %",$2086,"1,25 %",Perdido 😞
M,$60K - $80K,4,36,4,5,2,108,"0,59 %",$18484,"0,66 %",Existente 😀
F,Less than $40K,3,38,6,5,1,75,"0,74 %",$4554,"0,88 %",Existente 😀
F,Less than $40K,4,37,2,6,1,93,"0,41 %",$7688,"0,74 %",Existente 😀
F,Less than $40K,3,30,2,5,2,88,"0,63 %",$8097,"0,80 %",Existente 😀
M,$60K - $80K,2,40,4,5,4,68,"1,06 %",$3899,"0,78 %",Existente 😀
M,$60K - $80K,2,36,5,6,1,89,"0,68 %",$4682,"0,57 %",Existente 😀
F,Unknown,2,32,5,5,3,89,"0,68 %",$4597,"0,72 %",Existente 😀
F,Less than $40K,1,46,1,5,1,71,"0,65 %",$4731,"0,76 %",Existente 😀
M,$80K - $120K,4,33,3,5,3,66,"0,61 %",$4202,"0,67 %",Existente 😀
M,$80K - $120K,4,38,6,6,3,49,"0,89 %",$4816,"0,76 %",Perdido 😞
F,Less than $40K,2,36,3,6,3,81,"0,80 %",$4918,"0,89 %",Existente 😀
M,$120K +,3,44,5,6,4,60,"0,33 %",$2073,"0,68 %",Existente 😀
F,Less than $40K,1,39,4,5,2,76,"0,81 %",$4498,"0,67 %",Existente 😀
F,$40K - $60K,3,35,6,5,2,77,"0,57 %",$4093,"0,80 %",Existente 😀
F,Less than $40K,3,36,4,5,1,78,"0,66 %",$4944,"0,69 %",Existente 😀
F,Unknown,5,34,6,6,3,77,"0,88 %",$4825,"0,65 %",Existente 😀
M,$40K - $60K,3,36,3,6,2,32,"0,78 %",$1694,"0,67 %",Existente 😀
F,Less than $40K,2,36,6,6,3,71,"0,73 %",$3347,"0,57 %",Existente 😀
M,$80K - $120K,2,28,5,6,3,68,"0,89 %",$4435,"0,79 %",Existente 😀
F,Less than $40K,1,37,5,5,2,86,"0,83 %",$4531,"0,92 %",Existente 😀
M,$40K - $60K,3,35,3,5,3,107,"0,75 %",$15243,"0,85 %",Existente 😀
F,Less than $40K,1,36,6,6,2,47,"0,57 %",$1869,"0,87 %",Existente 😀
M,$60K - $80K,2,32,3,5,2,107,"0,73 %",$14751,"0,78 %",Existente 😀
F,Less than $40K,1,43,4,6,4,81,"0,59 %",$4196,"0,63 %",Existente 😀
M,$120K +,1,50,1,5,4,23,"0,15 %",$1339,"0,72 %",Perdido 😞
F,Less than $40K,2,32,6,6,0,70,"0,75 %",$4172,"0,75 %",Existente 😀
F,Less than $40K,2,46,2,6,2,85,"0,89 %",$4658,"0,80 %",Existente 😀
F,Less than $40K,4,36,3,5,2,81,"0,72 %",$4536,"0,88 %",Existente 😀
M,$60K - $80K,1,36,4,6,3,24,"1,00 %",$1111,"0,71 %",Existente 😀
F,$40K - $60K,3,36,5,5,3,62,"0,88 %",$4377,"0,86 %",Existente 😀
M,$60K - $80K,2,36,3,6,3,78,"0,90 %",$3969,"0,65 %",Existente 😀
M,$120K +,1,31,2,5,2,79,"0,68 %",$7520,"0,72 %",Existente 😀
M,$60K - $80K,2,25,3,5,3,27,"0,42 %",$709,"0,68 %",Perdido 😞
M,Unknown,1,36,1,5,2,82,"0,78 %",$7470,"0,64 %",Existente 😀
F,Less than $40K,3,34,3,6,2,81,"0,84 %",$4682,"1,04 %",Existente 😀
M,Less than $40K,4,30,4,6,1,29,"0,61 %",$1263,"0,59 %",Existente 😀
F,Less than $40K,3,40,3,5,1,42,"0,36 %",$2343,"0,86 %",Perdido 😞
F,Less than $40K,1,53,5,5,3,76,"0,73 %",$4555,"0,88 %",Existente 😀
M,$80K - $120K,3,41,4,5,3,41,"0,52 %",$1483,"1,51 %",Existente 😀
F,Less than $40K,3,32,5,6,3,40,"0,60 %",$1765,"0,68 %",Existente 😀
F,$40K - $60K,2,29,3,5,2,38,"0,73 %",$1824,"0,90 %",Existente 😀
M,$40K - $60K,2,50,2,5,3,17,"0,21 %",$761,"0,86 %",Perdido 😞
F,Less than $40K,4,33,4,5,3,87,"0,81 %",$4899,"0,82 %",Existente 😀
F,Less than $40K,2,37,4,5,4,38,"1,00 %",$1433,"0,54 %",Existente 😀
F,Less than $40K,2,46,3,5,2,69,"0,97 %",$4628,"0,77 %",Existente 😀
F,$40K - $60K,3,28,5,6,2,73,"0,70 %",$4673,"0,63 %",Existente 😀
F,Unknown,1,28,4,5,2,60,"0,58 %",$2121,"0,63 %",Existente 😀
M,$120K +,1,43,4,5,3,78,"0,70 %",$4425,"0,77 %",Existente 😀
F,Less than $40K,1,48,3,5,3,42,"0,75 %",$2578,"0,62 %",Perdido 😞
M,$80K - $120K,2,46,3,6,3,117,"0,70 %",$15055,"0,70 %",Existente 😀
F,$40K - $60K,3,38,3,6,1,72,"0,71 %",$4430,"0,89 %",Existente 😀
F,$40K - $60K,2,44,4,6,4,75,"0,79 %",$4010,"0,74 %",Existente 😀
F,Less than $40K,2,54,1,6,2,53,"0,43 %",$5043,"1,04 %",Perdido 😞
F,Less than $40K,1,46,3,6,4,70,"0,75 %",$3795,"0,83 %",Existente 😀
M,$60K - $80K,3,51,1,6,1,82,"0,71 %",$8004,"0,91 %",Perdido 😞
F,Less than $40K,2,21,5,6,3,59,"0,64 %",$2111,"0,85 %",Existente 😀
F,Less than $40K,4,41,1,5,2,61,"0,79 %",$4609,"0,69 %",Existente 😀
F,Less than $40K,2,28,4,6,3,79,"0,80 %",$4736,"0,76 %",Existente 😀
F,Less than $40K,1,42,3,5,4,80,"0,51 %",$4884,"0,65 %",Existente 😀
M,$120K +,2,38,5,6,0,63,"0,66 %",$4538,"0,93 %",Existente 😀
M,$80K - $120K,3,30,4,5,4,44,"0,57 %",$1776,"0,88 %",Existente 😀
F,Less than $40K,1,50,6,6,4,33,"0,83 %",$1757,"0,43 %",Perdido 😞
M,$60K - $80K,5,32,4,5,3,27,"0,80 %",$1302,"0,62 %",Existente 😀
F,Unknown,3,44,6,6,3,69,"0,68 %",$3853,"0,57 %",Existente 😀
F,$40K - $60K,3,36,6,5,0,62,"0,77 %",$4342,"0,78 %",Existente 😀
M,$80K - $120K,3,34,6,6,3,53,"0,56 %",$2755,"0,89 %",Perdido 😞
F,$40K - $60K,2,42,3,5,1,89,"0,68 %",$4463,"0,59 %",Existente 😀
F,Less than $40K,2,31,4,6,3,94,"0,54 %",$4965,"0,72 %",Existente 😀
M,$40K - $60K,3,44,2,5,3,121,"0,57 %",$13787,"0,86 %",Existente 😀
F,Unknown,1,50,3,6,3,43,"0,43 %",$2869,"0,77 %",Perdido 😞
M,$80K - $120K,0,31,3,5,2,70,"0,67 %",$4719,"0,63 %",Existente 😀
M,$60K - $80K,1,48,4,5,4,103,"0,72 %",$15678,"0,88 %",Existente 😀
M,Less than $40K,1,53,5,5,4,79,"0,72 %",$4010,"0,71 %",Existente 😀
F,$40K - $60K,1,56,3,5,1,36,"0,50 %",$1739,"0,51 %",Perdido 😞
F,Less than $40K,1,16,6,5,3,113,"0,77 %",$17437,"0,77 %",Existente 😀
M,$60K - $80K,5,25,1,5,1,82,"0,41 %",$7855,"0,65 %",Existente 😀
M,$60K - $80K,4,24,3,5,4,30,"0,88 %",$1448,"1,05 %",Existente 😀
M,$60K - $80K,3,16,4,5,4,42,"1,10 %",$1758,"0,58 %",Existente 😀
F,Unknown,2,36,5,5,4,47,"1,47 %",$1935,"0,84 %",Existente 😀
F,Less than $40K,5,26,3,5,2,60,"0,82 %",$3889,"0,64 %",Existente 😀
M,$60K - $80K,0,36,4,6,4,66,"0,89 %",$2273,"0,72 %",Existente 😀
M,$120K +,2,34,3,6,4,121,"0,73 %",$15195,"0,73 %",Existente 😀
M,$120K +,2,35,4,5,3,77,"0,79 %",$3931,"0,89 %",Existente 😀
F,Less than $40K,1,38,5,5,2,82,"0,71 %",$4100,"1,06 %",Existente 😀
M,$60K - $80K,0,48,2,6,2,47,"0,62 %",$2598,"0,88 %",Perdido 😞
M,Less than $40K,1,28,4,5,2,69,"0,64 %",$3928,"0,67 %",Existente 😀
M,$40K - $60K,3,22,3,6,3,63,"1,03 %",$2627,"0,81 %",Existente 😀
M,$80K - $120K,2,31,5,5,2,67,"0,72 %",$4026,"0,82 %",Existente 😀
F,Less than $40K,0,53,4,5,1,84,"0,65 %",$4706,"1,06 %",Existente 😀
M,$80K - $120K,3,33,6,6,4,46,"0,59 %",$1836,"0,72 %",Perdido 😞
M,$60K - $80K,2,49,4,5,3,53,"0,47 %",$1647,"0,57 %",Existente 😀
F,Less than $40K,3,47,5,6,2,42,"1,00 %",$2093,"1,32 %",Perdido 😞
M,$80K - $120K,1,50,3,6,3,41,"0,46 %",$2361,"0,43 %",Perdido 😞
M,$80K - $120K,1,48,1,5,3,27,"0,23 %",$2251,"0,65 %",Perdido 😞
F,$40K - $60K,4,35,3,5,2,74,"0,68 %",$4234,"0,68 %",Existente 😀
M,$40K - $60K,3,35,2,6,3,83,"0,80 %",$4436,"0,67 %",Existente 😀
F,Less than $40K,2,50,6,5,2,62,"0,68 %",$4815,"0,69 %",Existente 😀
F,Less than $40K,3,33,4,5,2,79,"0,84 %",$4757,"0,71 %",Existente 😀
F,Unknown,5,34,5,5,2,75,"1,03 %",$4264,"0,92 %",Existente 😀
F,Less than $40K,3,32,2,5,1,86,"0,51 %",$7834,"0,95 %",Existente 😀
F,Less than $40K,2,37,6,5,2,69,"0,68 %",$4457,"0,74 %",Existente 😀
M,$80K - $120K,1,42,5,5,4,63,"0,66 %",$3084,"0,84 %",Existente 😀
M,$80K - $120K,2,41,2,5,1,97,"0,59 %",$7796,"0,69 %",Existente 😀
M,$40K - $60K,1,53,6,6,2,26,"0,44 %",$1323,"0,89 %",Existente 😀
F,Unknown,2,32,2,5,3,91,"0,98 %",$15106,"0,79 %",Existente 😀
F,Unknown,3,40,2,6,1,90,"0,77 %",$5203,"0,59 %",Existente 😀
M,$120K +,3,52,4,5,3,93,"0,79 %",$4228,"0,79 %",Existente 😀
M,$40K - $60K,3,32,6,6,2,40,"0,74 %",$1758,"0,83 %",Existente 😀
F,Less than $40K,1,45,3,5,5,39,"0,44 %",$1603,"0,65 %",Perdido 😞
F,Less than $40K,1,31,2,6,3,105,"0,78 %",$14230,"0,93 %",Existente 😀
F,Unknown,2,40,4,5,3,93,"0,63 %",$4507,"0,81 %",Existente 😀
F,Less than $40K,1,30,5,6,2,65,"0,59 %",$3847,"0,81 %",Existente 😀
F,Less than $40K,3,48,1,5,2,50,"0,32 %",$4909,"0,92 %",Perdido 😞
F,$40K - $60K,0,56,3,6,4,71,"0,58 %",$3630,"0,86 %",Existente 😀
F,Unknown,2,51,3,6,2,51,"0,50 %",$2511,"0,87 %",Perdido 😞
F,Less than $40K,2,45,3,6,1,84,"0,75 %",$4752,"0,60 %",Existente 😀
M,$40K - $60K,2,53,4,5,4,43,"0,43 %",$2599,"0,77 %",Perdido 😞
F,Unknown,3,51,2,5,2,37,"0,61 %",$2607,"0,73 %",Perdido 😞
M,$120K +,2,51,3,5,3,39,"0,56 %",$2460,"0,73 %",Perdido 😞
M,$80K - $120K,3,42,3,6,2,65,"0,71 %",$3463,"0,84 %",Existente 😀
M,$40K - $60K,0,56,2,6,2,40,"0,74 %",$2113,"0,44 %",Perdido 😞
F,$40K - $60K,1,44,6,5,2,69,"0,73 %",$3637,"0,90 %",Existente 😀
F,Unknown,1,24,3,5,4,86,"0,91 %",$4189,"0,68 %",Existente 😀
F,Less than $40K,3,52,5,5,0,73,"0,83 %",$3946,"0,72 %",Existente 😀
F,$40K - $60K,3,41,6,5,3,58,"1,32 %",$4474,"0,93 %",Existente 😀
M,$60K - $80K,3,40,3,5,3,51,"0,55 %",$2611,"1,08 %",Perdido 😞
M,$60K - $80K,0,54,3,6,6,51,"0,76 %",$2864,"0,85 %",Perdido 😞
M,$60K - $80K,2,38,4,6,4,48,"0,60 %",$1960,"0,95 %",Existente 😀
M,$120K +,3,47,5,6,3,88,"0,96 %",$5146,"0,84 %",Existente 😀
F,$40K - $60K,2,36,4,5,3,67,"0,60 %",$4391,"0,57 %",Existente 😀
F,Less than $40K,2,51,4,6,5,40,"0,60 %",$2229,"0,70 %",Perdido 😞
M,$80K - $120K,0,52,4,6,4,35,"0,30 %",$1343,"0,36 %",Existente 😀
F,Less than $40K,2,34,4,5,2,72,"0,67 %",$4409,"0,81 %",Existente 😀
F,Unknown,3,40,3,5,3,41,"0,41 %",$2526,"0,89 %",Perdido 😞
F,Less than $40K,2,50,2,6,3,36,"0,44 %",$2719,"0,71 %",Perdido 😞
F,$40K - $60K,4,26,5,5,3,54,"0,69 %",$2189,"0,71 %",Perdido 😞
M,$40K - $60K,4,37,3,6,2,43,"0,96 %",$1562,"0,75 %",Existente 😀
F,$40K - $60K,3,42,1,5,3,53,"0,61 %",$2164,"0,49 %",Perdido 😞
M,$60K - $80K,2,51,5,6,3,39,"0,70 %",$1458,"0,58 %",Existente 😀
M,$40K - $60K,4,46,3,5,2,62,"0,68 %",$3634,"0,95 %",Existente 😀
F,Unknown,3,38,4,6,4,76,"0,55 %",$3609,"0,47 %",Existente 😀
M,$80K - $120K,3,38,3,5,1,83,"0,63 %",$7279,"0,64 %",Existente 😀
F,Less than $40K,3,46,5,5,2,39,"0,39 %",$3281,"0,54 %",Perdido 😞
F,$40K - $60K,1,34,6,5,3,58,"0,57 %",$2153,"0,78 %",Existente 😀
F,Unknown,5,42,3,5,3,44,"0,47 %",$2458,"0,75 %",Perdido 😞
M,$60K - $80K,1,55,5,5,3,95,"0,70 %",$14954,"0,71 %",Existente 😀
F,$40K - $60K,0,55,1,5,5,46,"0,28 %",$1861,"0,27 %",Perdido 😞
F,Less than $40K,2,46,1,6,3,124,"0,72 %",$16059,"0,81 %",Existente 😀
F,Less than $40K,0,56,3,6,3,27,"0,29 %",$1712,"1,02 %",Perdido 😞
M,$40K - $60K,0,56,2,5,4,39,"0,70 %",$1821,"0,61 %",Perdido 😞
F,Less than $40K,0,56,6,6,1,59,"0,90 %",$4546,"0,75 %",Existente 😀
F,$40K - $60K,4,27,4,6,3,67,"0,86 %",$3804,"0,96 %",Existente 😀
M,$80K - $120K,4,33,5,5,3,56,"0,51 %",$1721,"0,68 %",Existente 😀
F,Less than $40K,0,56,5,6,3,48,"0,71 %",$2288,"0,78 %",Perdido 😞
F,Less than $40K,3,36,6,6,4,80,"0,70 %",$3943,"0,89 %",Existente 😀
F,Less than $40K,3,36,4,6,2,119,"0,61 %",$16100,"0,63 %",Existente 😀
F,$40K - $60K,3,41,4,5,3,53,"1,04 %",$3043,"1,14 %",Existente 😀
F,Less than $40K,4,40,2,5,2,94,"0,81 %",$8637,"0,91 %",Existente 😀
F,Unknown,4,48,5,5,2,74,"0,95 %",$5053,"0,65 %",Existente 😀
F,Unknown,2,28,5,5,2,69,"0,47 %",$3441,"0,54 %",Existente 😀
M,$120K +,0,48,4,5,5,51,"0,42 %",$2474,"1,00 %",Perdido 😞
F,$40K - $60K,4,40,6,5,3,80,"0,74 %",$4996,"0,95 %",Existente 😀
F,$40K - $60K,1,48,1,5,3,76,"0,62 %",$4643,"0,77 %",Existente 😀
F,Unknown,4,49,5,5,4,48,"0,71 %",$2585,"0,82 %",Perdido 😞
M,$80K - $120K,2,48,6,6,1,73,"0,59 %",$4254,"0,64 %",Existente 😀
F,Unknown,1,27,4,6,3,60,"0,36 %",$2271,"0,76 %",Existente 😀
M,$40K - $60K,2,32,3,5,2,73,"0,66 %",$2373,"0,82 %",Existente 😀
F,Less than $40K,4,36,5,5,3,82,"0,71 %",$4795,"0,61 %",Existente 😀
F,Less than $40K,1,35,1,5,1,92,"0,84 %",$4846,"0,63 %",Existente 😀
